"","from","to"
"123","uce-80758_aphimm","uce-2630_aphimm"
"124","uce-143481_aphimm","uce-2022_aphimm"
"125","uce-128283_aphimm","uce-2631_aphimm"
"126","uce-29666_aphimm","uce-2023_aphimm"
"127","uce-242213_aphimm","uce-2024_aphimm"
"128","uce-157358_aphimm","uce-3198_aphimm"
"129","uce-185837_aphimm","uce-4253_aphimm"
"130","uce-1341_aphimm","uce-3199_aphimm"
"131","uce-206718_aphimm","uce-2025_aphimm"
"132","uce-193926_aphimm","uce-3790_aphimm"
"133","uce-246739_aphimm","uce-2632_aphimm"
"134","uce-148873_aphimm","uce-2689_aphimm"
"135","uce-121589_aphimm","uce-3791_aphimm"
"136","uce-16466_aphimm","uce-2633_aphimm"
"137","uce-232159_aphimm","uce-3200_aphimm"
"138","uce-18558_aphimm","uce-3531_aphimm"
"139","uce-146715_aphimm","uce-2027_aphimm"
"140","uce-84529_aphimm","uce-3201_aphimm"
"141","uce-81591_aphimm","uce-3793_aphimm"
"142","uce-119178_aphimm","uce-2634_aphimm"
"143","uce-72114_aphimm","uce-2028_aphimm"
"144","uce-179117_aphimm","uce-2635_aphimm"
"145","uce-202962_aphimm","uce-3794_aphimm"
"146","uce-124531_aphimm","uce-2029_aphimm"
"147","uce-202966_aphimm","uce-3795_aphimm"
"148","uce-61995_aphimm","uce-2919_aphimm"
"149","uce-153276_aphimm","uce-2030_aphimm"
"150","uce-10581_aphimm","uce-3796_aphimm"
"151","uce-78991_aphimm","uce-2638_aphimm"
"152","uce-90459_aphimm","uce-2031_aphimm"
"153","uce-49428_aphimm","uce-3797_aphimm"
"154","uce-119572_aphimm","uce-3798_aphimm"
"155","uce-16513_aphimm","uce-2212_aphimm"
"156","uce-81470_aphimm","uce-4001_aphimm"
"157","uce-202634_aphimm","uce-3363_aphimm"
"158","uce-147536_aphimm","uce-3799_aphimm"
"159","uce-227222_aphimm","uce-3204_aphimm"
"160","uce-227227_aphimm","uce-3205_aphimm"
"161","uce-146000_aphimm","uce-2641_aphimm"
"162","uce-122485_aphimm","uce-2642_aphimm"
"163","uce-10213_aphimm","uce-3206_aphimm"
"164","uce-230710_aphimm","uce-2643_aphimm"
"165","uce-12762_aphimm","uce-2244_aphimm"
"166","uce-161960_aphimm","uce-2644_aphimm"
"167","uce-33604_aphimm","uce-3801_aphimm"
"168","uce-105774_aphimm","uce-3802_aphimm"
"169","uce-72201_aphimm","uce-2645_aphimm"
"170","uce-182273_aphimm","uce-3411_aphimm"
"171","uce-25524_aphimm","uce-2647_aphimm"
"172","uce-8926_aphimm","uce-3851_aphimm"
"173","uce-52548_aphimm","uce-2032_aphimm"
"174","uce-60860_aphimm","uce-2648_aphimm"
"175","uce-10103_aphimm","uce-2649_aphimm"
"176","uce-41931_aphimm","uce-3207_aphimm"
"177","uce-70549_aphimm","uce-3804_aphimm"
"178","uce-226266_aphimm","uce-2651_aphimm"
"179","uce-215553_aphimm","uce-3762_aphimm"
"180","uce-53947_aphimm","uce-3486_aphimm"
"181","uce-147440_aphimm","uce-2034_aphimm"
"182","uce-231532_aphimm","uce-2035_aphimm"
"183","uce-53943_aphimm","uce-2036_aphimm"
"184","uce-87816_aphimm","uce-2652_aphimm"
"185","uce-230000_aphimm","uce-3208_aphimm"
"186","uce-48342_aphimm","uce-2825_aphimm"
"187","uce-153980_aphimm","uce-2038_aphimm"
"188","uce-77794_aphimm","uce-3805_aphimm"
"189","uce-23256_aphimm","uce-2653_aphimm"
"190","uce-137027_aphimm","uce-2654_aphimm"
"191","uce-137026_aphimm","uce-2655_aphimm"
"192","uce-153696_aphimm","uce-4193_aphimm"
"193","uce-5668_aphimm","uce-2656_aphimm"
"194","uce-144856_aphimm","uce-2039_aphimm"
"195","uce-84707_aphimm","uce-2254_aphimm"
"196","uce-240212_aphimm","uce-2257_aphimm"
"197","uce-226664_aphimm","uce-3806_aphimm"
"198","uce-178445_aphimm","uce-2658_aphimm"
"199","uce-161785_aphimm","uce-3807_aphimm"
"200","uce-25633_aphimm","uce-3210_aphimm"
"201","uce-199493_aphimm","uce-2042_aphimm"
"202","uce-143075_aphimm","uce-3808_aphimm"
"203","uce-230482_aphimm","uce-2043_aphimm"
"204","uce-177436_aphimm","uce-2132_aphimm"
"205","uce-214943_aphimm","uce-2659_aphimm"
"206","uce-54084_aphimm","uce-2044_aphimm"
"207","uce-118442_aphimm","uce-2660_aphimm"
"208","uce-162208_aphimm","uce-3809_aphimm"
"209","uce-215017_aphimm","uce-2661_aphimm"
"210","uce-12507_aphimm","uce-2284_aphimm"
"211","uce-95770_aphimm","uce-3213_aphimm"
"212","uce-136462_aphimm","uce-2562_aphimm"
"213","uce-95778_aphimm","uce-3214_aphimm"
"214","uce-132196_aphimm","uce-3215_aphimm"
"215","uce-223033_aphimm","uce-3216_aphimm"
"216","uce-159163_aphimm","uce-2662_aphimm"
"217","uce-155119_aphimm","uce-3478_aphimm"
"218","uce-159161_aphimm","uce-2663_aphimm"
"219","uce-229841_aphimm","uce-2560_aphimm"
"220","uce-154791_aphimm","uce-3810_aphimm"
"221","uce-247454_aphimm","uce-3487_aphimm"
"222","uce-208052_aphimm","uce-2605_aphimm"
"223","uce-226314_aphimm","uce-3217_aphimm"
"224","uce-223744_aphimm","uce-2301_aphimm"
"225","uce-148240_aphimm","uce-2047_aphimm"
"226","uce-148242_aphimm","uce-2048_aphimm"
"227","uce-18836_aphimm","uce-2049_aphimm"
"228","uce-92518_aphimm","uce-3498_aphimm"
"229","uce-187330_aphimm","uce-3812_aphimm"
"230","uce-113095_aphimm","uce-3813_aphimm"
"231","uce-229992_aphimm","uce-3219_aphimm"
"232","uce-49095_aphimm","uce-3220_aphimm"
"233","uce-155205_aphimm","uce-2051_aphimm"
"234","uce-187789_aphimm","uce-3768_aphimm"
"235","uce-151699_aphimm","uce-2664_aphimm"
"236","uce-198913_aphimm","uce-4163_aphimm"
"237","uce-131075_aphimm","uce-3222_aphimm"
"238","uce-159940_aphimm","uce-2324_aphimm"
"239","uce-55133_aphimm","uce-2046_aphimm"
"240","uce-58553_aphimm","uce-2052_aphimm"
"241","uce-231065_aphimm","uce-3223_aphimm"
"242","uce-70298_aphimm","uce-3480_aphimm"
"243","uce-21641_aphimm","uce-3224_aphimm"
"244","uce-229191_aphimm","uce-3225_aphimm"
"245","uce-166819_aphimm","uce-3226_aphimm"
"246","uce-226983_aphimm","uce-2006_aphimm"
"247","uce-247296_aphimm","uce-2054_aphimm"
"248","uce-219432_aphimm","uce-3533_aphimm"
"249","uce-117392_aphimm","uce-3817_aphimm"
"250","uce-134914_aphimm","uce-4133_aphimm"
"251","uce-117390_aphimm","uce-3818_aphimm"
"252","uce-187201_aphimm","uce-2055_aphimm"
"253","uce-228485_aphimm","uce-3819_aphimm"
"254","uce-44673_aphimm","uce-2056_aphimm"
"255","uce-155677_aphimm","uce-3770_aphimm"
"256","uce-119135_aphimm","uce-2057_aphimm"
"257","uce-83863_aphimm","uce-2351_aphimm"
"258","uce-141535_aphimm","uce-2058_aphimm"
"259","uce-229447_aphimm","uce-3230_aphimm"
"260","uce-229444_aphimm","uce-3231_aphimm"
"261","uce-143419_aphimm","uce-4065_aphimm"
"262","uce-120423_aphimm","uce-3232_aphimm"
"263","uce-135197_aphimm","uce-2665_aphimm"
"264","uce-126106_aphimm","uce-3233_aphimm"
"265","uce-64572_aphimm","uce-2666_aphimm"
"266","uce-123886_aphimm","uce-3234_aphimm"
"267","uce-82737_aphimm","uce-3235_aphimm"
"268","uce-34401_aphimm","uce-3821_aphimm"
"269","uce-122236_aphimm","uce-3095_aphimm"
"270","uce-241683_aphimm","uce-2389_aphimm"
"271","uce-82730_aphimm","uce-3237_aphimm"
"272","uce-206419_aphimm","uce-2667_aphimm"
"273","uce-234904_aphimm","uce-2668_aphimm"
"274","uce-69041_aphimm","uce-3575_aphimm"
"275","uce-131454_aphimm","uce-2809_aphimm"
"276","uce-103350_aphimm","uce-2061_aphimm"
"277","uce-40976_aphimm","uce-2376_aphimm"
"278","uce-1579_aphimm","uce-3238_aphimm"
"279","uce-193111_aphimm","uce-4254_aphimm"
"280","uce-16183_aphimm","uce-3823_aphimm"
"281","uce-250253_aphimm","uce-3679_aphimm"
"282","uce-217213_aphimm","uce-3239_aphimm"
"283","uce-78526_aphimm","uce-2669_aphimm"
"284","uce-78520_aphimm","uce-2670_aphimm"
"285","uce-63294_aphimm","uce-2671_aphimm"
"286","uce-34064_aphimm","uce-2063_aphimm"
"287","uce-205876_aphimm","uce-2397_aphimm"
"288","uce-13138_aphimm","uce-3826_aphimm"
"289","uce-239680_aphimm","uce-4151_aphimm"
"290","uce-207785_aphimm","uce-2065_aphimm"
"291","uce-12990_aphimm","uce-2672_aphimm"
"292","uce-212654_aphimm","uce-4268_aphimm"
"293","uce-59595_aphimm","uce-2673_aphimm"
"294","uce-239441_aphimm","uce-3240_aphimm"
"295","uce-225950_aphimm","uce-2906_aphimm"
"296","uce-239845_aphimm","uce-2066_aphimm"
"297","uce-46708_aphimm","uce-3827_aphimm"
"298","uce-223806_aphimm","uce-2290_aphimm"
"299","uce-10597_aphimm","uce-2675_aphimm"
"300","uce-77092_aphimm","uce-3774_aphimm"
"301","uce-18138_aphimm","uce-3829_aphimm"
"302","uce-137442_aphimm","uce-3830_aphimm"
"303","uce-206670_aphimm","uce-3831_aphimm"
"304","uce-202597_aphimm","uce-3832_aphimm"
"305","uce-237868_aphimm","uce-3833_aphimm"
"306","uce-46383_aphimm","uce-2676_aphimm"
"307","uce-154771_aphimm","uce-4067_aphimm"
"308","uce-161134_aphimm","uce-3241_aphimm"
"309","uce-161135_aphimm","uce-3242_aphimm"
"310","uce-5877_aphimm","uce-3644_aphimm"
"311","uce-73365_aphimm","uce-2677_aphimm"
"312","uce-146032_aphimm","uce-3834_aphimm"
"313","uce-67053_aphimm","uce-2069_aphimm"
"314","uce-233104_aphimm","uce-2678_aphimm"
"315","uce-146811_aphimm","uce-2070_aphimm"
"316","uce-210079_aphimm","uce-3244_aphimm"
"317","uce-244167_aphimm","uce-2071_aphimm"
